ID	Verbatim
198	I was able to accomplish alot in a short time,found all the information I needed Quickily enough.I did not have to deal with spams and unsoliciteted emails.As such ABCD has always satisfied my internet needs.Thanks.
199	I've set up favorites and can go right to them every day.
200	 MY SERVICE WAS GOOD AND ABCD IS THE BEST
201	because everyone very nice
202	no lag in service
203	little pop up advertising, great connection
204	ABCD is always easy to use. Always able to connect quickly.
205	TOO MANY PROBLEMS AND ALOT OF DIFFERENT PEOPLE TO TALK TO AND.IT JUST TO HIGH RIGHT NOW I'AM LOOKING FOR SOMETHING. A LITTLE CHEAPER AND  I HAVE A PROBLEM TRYING TOGET 2.3
206	The visit went smoothly and there were no unexpected problems.  I was able to get around easily and access what I wanted in a quick and efficient manner.
207	i got kicked off.. and got kicked off early this evening.
208	I was able to get the info that I needed.
209	easy to use and it get me the information Ineed.
210	I was able to stay connected for a longer period.
211	few pop ups.
212	  easy to use. cost
213	Got the information I was looking for.
214	no problems
215	I get booted off line alot also problems with instant messenger.
216	got the info i needed. I was able to get right on, without interruption, and my web pages came up quickly
217	I attend school on-line so I need a good online provider and ABCD provides that to me.
218	i was on line in a very short time
219	I saw everything I needed to see.
220	I found what I was looking for easily.
221	found information i was looking for
222	just fine no complante 
223	everything went well
224	wABCD keeps booting us off.
225	ABCD is always kicking me off of the internet and my passwords are always getting reset for some reason or another and when i'm on hold i'm either on hold for a long time or i'm transfered several times and then hung up on. because i came on checked my mail and log off (that took no time at all)
226	i kept getting shut down mid-utilization
227	no problems
228	I was able to read the message boards: i was able to access the WWW.
229	I got all of the information I was looking for.
230	Everything went the correct wy - no problems!
231	I did what I intended to do and was not booted off.
232	ease of use.  no problems.
233	got on line..checked  my mail & had no problems 
234	Connection was fine and no problems
235	very easy to navigate and very user friendly
236	Easy to use, like the variety of areas to visit. Has news that is current on the front page.
237	f ound info I wanted
238	becaus i found out what i was looking fore. i like the games that we have on line.
239	takes to long to get on, to many pop ups frezzes all the time and is very slllloooooowwwww
240	Able to connect with ease, no busy signals.  Did not get kicked off.
241	ABCD IS A GOOD SERVICE AND i DO LIKE IT AND ITS PERKS.  i JUST HATE THE OUT OF CONTROL ADVERTISING . iT TAKES ME FOR EVER TO THROUGH MY MAIL BECAUSE OF THE CRAP. enTIRELY TO MANY BOGUS ADS AND BALONEY E-MAIL. i AM LOOKING FOR SOMETHING FASTER WITH A LOT LESS ADVERTISING CRAP AND BOGUS e-MAIL..
242	No spam or junk mail waiting for me
243	Because I was able to get online and do what I intended to do!
244	connection was good. pages loaded quickly
245	I found just what I was looking for quick
246	GOOD CONTENT
247	goty the job done...
248	easy to find sites I was interested in.
249	I enjoy being able to do business and play a few games online all in the same sessions
250	When I go on line they make it so easy to comprehend my situation and always makes sure their customers are  satisfied in every way.
251	I could access my personal accounts online & check my personal email
252	yes
253	it is easy to use i can get online do what I need and get out quickly
254	i didn't experience any problems
255	everything is so easy to access
256	ABCD is easy and helpful in finding things that would other wise take alot of time to research.
257	i   did not cancel  i  got  a  better  price and  was  very  satisfied
258	no problems while i was online 
259	I obtained what I wanted.
260	N\A 
261	easy
262	ease and satisfaction
263	cost
264	ease of use, faster than other dial up
265	I found the contents i needed.
266	Seeing how this Q was just asked, I was ok with it. Seemed to be sorta slow, and my friend was over...He said wow this think is slow
267	Dissatisfied with disconnection occurance and slowness of server... 
268	ABCD has a very good home page but I still have problems with pop ups and sometimes have to turn off computer to get them off screen.
269	i aleays am
270	ABCD did not lock up and I wS ABLE TO GET THE THINGS DONE WITHOUT RESTARTING ABCD
271	ABCD is always there when i want to use the service
272	I found all of the information that I was looking for very easily
273	Could not access the web site I needed.  Very slow
274	Too expensive
275	Because it let me do wat I wanted to do.
276	ALOT OF TROJAN HORSES
277	Ease of use.  Good Search service.  
278	Got what I wanted online
279	I didn't get kicked offline on this visit.
280	because it is just like every visit  problem free and very entertaining
281	   I Logged on to check my E-Mail. Click on icon enter pass word and ABCD tells me if I have mail. Very easy and hassel free. thank you
282	I like the service, but I keep on getting bumped off!!
283	I just checked mail and looked through one of the headlines.  It was easy to get on, get through my mail, see the news and get out.
284	because I live on ABCD..I am divorced and very depressed..it is GREAT..thank YOU
285	I just like ABCD
286	It was brief and minimal interuptions 
287	very slow
288	don't know how to answer.
289	I HAD NO TROUBLE
290	Very smooth surfing, no problems with connecting. Many opportunities with ABCD.
291	Just because.
292	The price.  It keeps going up but the service doesn't get any better.  I also have a cable modem so ABCD is unnecessary.
293	was not able to get downloads
294	Do not use ABCD features enough to justify paying wice as much as cmpetitors
295	not being ablr to navigate even within ABCD and then being disconected
296	I don't have any problems signing on.  I looked up and found what I was looking for.
297	because I always enjoy the diferent things ABCD has to offer so it's satisfying to me each time
298	I could get around the internet fast.
299	I was checking my email...no problems.
300	Quick connection, ease of use, able to connect with family and friends
301	I was able to find exactly what I was looking for with in minutes
302	I got online rather quickly and there were fewer pop-up messages.  Thanks
303	your monthly rates compared to other online services is high.  I realize ABCD provides various newsand entertainment reports, but we really don't need all the bells and whistles.  No frills is what I'm interested in and the option of paying $23 vs $10 is appealing.  Thank You
304	The software is so large and content so extensive that speed and performance is lost.
305	a few days ago I get disconnected twice
306	So very many popups ! I feel its an invasion of my privacy !! I HATE them !. because of the popups...some I have to go to alt,ctrl, delete,  to  get away from ...I HATE them
307	availability of less expensive services. was able to get on and do what I needed to
308	No mentionable problems
309	i have easy access to the internet service at a click.
310	It is too expensive. It was OK.
311	Able to accomplish what I wanted to do in a short time without any difficulty.
312	i needed to look something up and it was fairly easy
313	good responce
314	I found what I was looking for.
315	sometimes I simply lose contact, in the middle of a correspondence...very frustrating...and have to sign on again...
316	things go smoothly......no hassle...
317	It is there for me and it is not complicated.
318	getting booted
319	Fast and easy.
320	I have been online for about 4 yrs or so!!   I just like being online and gettin my email  looking up things on the web and etc BUT ABCD is really too expensive compared to other ISP  but its the only one i can get using my checking account  I dont have a credit card.  I tried to get ABCD acount for 14.95 ABCD offered Target employees BUT  i would have to dump my email address for a new account only I was not happy so i just continued with my old account....   
321	ABCD gives me everything I want to know virtually on my screen, from current events, sports and is constantly updating screen with latest breaking news and events
322	did what i needed 
323	ABCD didnt dump me while i was trying to review documentation
324	got online without a problem
325	cost. easy 
326	The service was available and I was able to retrieve my email.
327	checked my email
328	Got on and did what I had to do with ease.
329	I really don't have a problem with ABCD.  Ther only problem that we had was that someone got my husbands information, and the price could be alittle better.  I like ABCD and would not go to anyone else.  ABCD is ease to use and friendly, it has what I need and llike it.
330	ABCD is the one constant upon which I can truly rely.
331	I am able to get on quickly and take care of my business and move on to other things then come back.
332	Because there wasnt opinion polls available when I needed one.  My email box was flooded with trash email.  I want to block them out but not block out people other than friends.
333	I had no trouble checking my email.
334	i called one night about a problem and had the rudest person on the other end,,,,, like i bothered her. just had a good day on ABCD without being booted off 
335	just able to get on 
336	Easy to use, I use it everyday.
337	It is too expensive.
338	i love ao its so easy to use
339	I didn't get disconnected. My free year subscription is up
340	I found what I was looking for.
341	t get my mail & news
342	signed on fast ! 
343	Because I didn't get booted
344	it's too expensive for what you get.
345	just was
346	Got to most items I wanted. had problems with others.
347	Ease of use. Monthly membership is too expensive.
348	I just was. I'm now using a modem cable.
349	No tecnical problems and am going use to pop ups even though I do not like them nor want them. 
350	I was able to maneuver without any problems
351	dont know.price is to high can get better prices
352	I went on to check a hotel and the site gave me a # to call to make res. and once a call and they took all my info including my credit card # they said they couldnt make the reservations. Gave me another # to call and it wasnt any good.
353	I feel comfortable moving around using my ABCD service.  
354	got the info I needed
355	I was able to obtain the information I was inquiring about.
356	1)  When people send me e-mail with attachments I can't open them or view pictures.  I have made several adjustments per ABCD personnel but none have made a difference.  This has been a problem since I joined ABCD.  2)  The system automatically erases my e-mails that I have viewed after a certain amount of time.  As far as I am concerened, it is my account and I should be the one deleting them.  3)  When I save an e-mail to my saved file, I can't access it.  I have gone into the help area but it does not tell me how to access the ones that I have saved.. was able to access everything that I have set up in my favorites without being booted off the system AGAIN.
357	Had no problems connecting to  any sites. Web site surfing very helpful.
358	There were no stalled times in bringing up informtion.  This happens from time to time, but not very often.  I usually just turn off my computer.
359	Ease and convenience. I used ABCD Anywhere. I was able to access my email account from a computer that doesn't have ABCD as it's server.
360	I am tired of getting kicked off of line, and I pay for a modem also.
361	I get bumped off all the time.
362	I checked mail from work... not an ABCD server there.
363	I didn't get cut off afeter signing in. I just got on to read my mail. I have two sons in the service and it is very important to me to have that access without getting cut off..
364	because I was in a hurry and I could get on and check my e-mails and check on  other things and get off
365	TOO MANY TIMES BEING KNOCKED OFF LINE cost too much 
366	no knock offs 
367	Terrible customer and Tech service  an dun able for a tech to resolve the issue a continous
368	Unable to solve the issue 
369	I always get kicked off.
370	I keep getting kicked off if I even get online at all.
371	It didn't crash.
372	i hate the pop ups 
373	I had no issues, except alot of junk mail everytime I get on
374	was not booted off
375	"I liked the news info and pictures available...liked being able to ""favorite place"" the sites I was interested in."
376	easyier to navigate
377	I had no problems didn't get any pop-ups or unsolicited advertising
378	Sorry, I meant to say very unlikely
379	no pop-ups and I had found what I was looking for very easly
380	expense
381	iconect every day all day im alwys satisfied with ABCD
382	because its easy to use
383	no problems
384	have no problens
385	download is fast
386	ease 
387	I t is ok for a dial up service  and it is user freindly
388	I was satisfied because all I wanted to do was check my mail, so I signed on, checked it and signed off.  No problems.
389	I was able to get right on and use the internet without any delays.
390	ABCD requires us to be a member, to be able to play on the EA/WP Bridge Site. This site is on the edge of closing down, and the problems are getting worse, no connection, booting, etc. If this site goes, so do I.
391	usually when u ask for tech help, u get a tech that makes u wait and knows little about the problem at hand. Their textbook greetings and apologies, seem fake and are annoying. Today, I got someone that spoke to me like I was a real person, she was informative and helpful and she followed up like she said she would. This is a novelty for the Techs at ABCD.
392	because of the customized ABCD startup screen, I was able to go exactly where I wanted with virtually no effort, and because the news is always kept up to date, so I don't have to wait for my local paper to get the current headlines and information I want to know about. 
393	ease of navigation
394	quick access
395	the prce is too high and i am getting a lot of ads poping up
396	it was quick and easy
397	I didn'tet cut off frpm the service.
398	I get cut off too frequently.  I pay over 50 dollars a month for service.
399	I got in and out of my online fast,with no effort.
400	it was effortless
401	it's easy to find what you want and where you want to go.
402	Have trouble logging on. . . always getting hung up
403	I didn't get hung up!!!
404	Because up until now it was free, I will change and get free service again from someone
405	Having troube staying,on line,to many popups,to much junk mail.
406	It is so easy to get my mail and forward things to other people
407	found what i needed
408	I just like all the things that is offered to me
409	I didn't get shut down or have any problems.
410	Ease of use.  speed of response. clear error messages.
411	My problem was not solved.  I was left more confused than when I started.
412	Everything went very smoothly as I connected from one website to another.
413	Everything went ok
414	the service they provide
415	The price is too high compared to other services available.
416	good response time, no glitches
417	I dont get booted and 2.3 is awesome
418	Cost$$$$$$$$$$$$$ to much !!!!!!!!!!!!!
419	SPend more time deleting junk mail!!!!
420	ease to get on. ease to surf. user friendly. ease to check e-mail. 
421	Have a hard time doing certain things on here that my husband can do at work...Ie Photos
422	We gotphotos done on a kodak cd and could not attach them to send as an email???
423	Because what I needed answered was taking care of.
424	Basically no problems during use
425	The site seems to be working well, etc.
426	Because it would not load I had to log off and try to log again.  I don't know if it was my computer or if it is ABCD.
427	I was able to find information quickly and effortlessly.
428	Mission accomplished in sending  and receiving e-mail. Great Service. Have used ABCD for years.
429	cust service ppl and most all ABCD family always helpful, have suggestions to help you, u need not take suggestion, but they offer if needed.  very professional, curteous, always a pleasure to deal with them. to bad i have to leave ABCD for monitarily reason. But i cant help. it is unavoidable
430	i like the hi speed. However it is the hi price.  
431	It was a very effeortless in and out not a long time to get in.  Very easy to get around, they make everything clear on how to get were you want to be.
432	I was able to do everything that I wanted to get done easily without much hastle.  I also got to talk to a friend I don't see very often but was online at the same time as I was.
433	ease of use, and the new steps ABCD is taking to control spam emails.
434	Kept shutting me off. This seems to be my major problem other than being slow. 
435	I wasn't on very long just looking up something and i didn't have any trouble.
436	i accomplised what i wanted
437	the price
438	monthly rate
439	no particular problems occurred
440	easy on easy to navigate
441	Being dropped often
442	Pricing plan
443	I like the easy features that ABCD has. 
444	able to quickly retreive the information i needed.
445	I get in very easy and when IM works well. 
446	Ease of use, but had lots of unsolicited email.
447	financial reasons
448	I waited on the phone for over 20 minutes to talk to someone. I have another service
449	I was trying to cancel service online and it doesn't seem possible. That is stupid! People can set it up online but can't cancel. 
450	Price compared to other services/combined with difficulty in speaking to COMPETENT service people.
451	I was satisfied because is easy to use 
452	cost , go with a cheaper company 
453	no porn instant messages
454	ABCD is very easy to use and would be the best if it was just a little cheaper.
455	Easy to get on to. 
456	very easy to use
457	easy to use services
458	Connected quickly, found what I was looking for.
459	i was satisfied with the last visit because found what i was looking for.
460	because everything worked for once
461	I didn't get bumped off.
462	I WAS ABLE TO GET ONLINE QUICKLY AND DO MY WORK.
463	I would say the plan is to expencsive for the family budget.
464	I asked for the news and weather and I got it
465	Easily accessible
466	The person was able to help me with my billing question.
467	I LIKE TO PLAY ON LINE GAMES
468	Because the tech was patient, courteous and most importantly solved the problem I was having.
469	The ability to move around at a faster rate. 
470	fast connectivity, quick responce.
471	i didnt have any problems 
472	I was on for a short time (oh but I do remember I got Booted but it was ok i went right back online).
473	the e-mail was faster then earlier in the day
474	because, as usual, I had no problems.
475	Everything went smoothly.
476	I like the ease of ABCD and I never have problems with finding the information I need. 
477	The price.  I can get unlimited internet access for $10.00 a month and I pay $23.95 for the same thing.
478	everything seemed to work with little or no lag time in accessing the internet.
479	I did what I wanted to do
480	Easy to find what I was looking for, and fast
481	everything went fine
482	"Found what I was looking for; proprietary content well organized"
483	 BECAUSE I WASN'T CUT OFF. THINGS WERE QUICKER TO GET TO. SOMETIMES IT TAKES FOREVER TO GET TO WHAT I WANT. WHEN GETTING ON LINE THE PHONE LINE WASN'T BUSY.
484	Because I was able to connect without a problem
485	was faster than normal
486	See last input.
487	The more it's updated, the clunkier it gets. It's obviously geared for 14 year olds. Lots of glitz, but no real substance. I can get the web-browser I need for half the price.
488	ease of use
489	ease of service
490	Didn't get dropped.
491	It seems to take forever for ABCD to initilze,start, and run and then it seems to occasionally lock up my computer so I have to go through all this again.
492	You have too many pop up windows--it takes forever to initialize, start, and run ABCD.  My computer locks up frequently when I use ABCD.
493	I am always satisified with my visits . I have used other services and ABCD is much better than any other ones. I perfer it to any of them. I have used 4 different oned and would much rather use ABCD
494	Was able to check my mail and other without much wait.  
495	checked my e=mail
496	could not get on line - 
497	Had to delete about 30 useless emails after only 2 days.  I had reported them as spam for about a month but the volume of junk keeps increasing.
498	cost
499	No complance
500	"I got ""partial"" information."
501	I was finally able to fully download something without the service interrupted. 
502	The price is too high.
503	Because i got on quick did what i needed to do and then got off quick
504	Currently not employed.
505	I had no problems getting to the sites I wanted.
506	Easy to find what I'm looking for. 
507	I got every thing done that I wanted to.
508	Ease of acquiring and opening  email.
509	allows you to log on quickly
510	because of the price there seems to be better prices out there
511	Operations went smoothly, without hastle
512	got bumped off right after login
513	to many pop ups and I keep getting disconected
514	I GET TO VISIT THE SITES THAT I WANTED AND CHECK MY EMAILS WITHOUT ANY PROBLEMS
515	GOT TO WHERE I WANTED TO GO WITHOUT ANY PROBLEMS
516	there were no problems
517	I go into a chat room and people repeatedly come in to be mean.  We tos these individuals and yet they come back the very next night to do the same thing.  Yes, we can ignore them but it makes our chat experience not very pleasant.  There is one member that punts people in the chat room, makes threats, etc. and nothing ever happens to her.
518	1/2 the people on ABCD cant speak english.if i cant understand them,they cant understand me. ABCD should make sure all repesentives can speak english
519	cable modem compared to phone modem speed
520	I am moving in the next few months so I will cancel my ABCD until I set up my computer system at my new home. At this point I will decide which interent service to use based on price and overall quality.
521	I was able to visit various sites without any interuptions or problems
522	Ease of use
523	I was constantly shut done 
524	i was able to get where i wanted to go and find the info i was looking for
525	most of my favorites come up .some did'nt.
526	I'm using the mail controls to block spam, everyday is better.
527	yes, of course I was satisfied with my last visit with ABCD
528	i like to surf ...but i wish there was a way to do it faster 
529	i accomplished what i needed. too many pop ups and way too much spam
530	Didn't get knocked off line.
531	buffaloroam.net
532	easy to navigate
533	too expensive..other providers are so much cheaper
534	I found what I was looking for
535	Connects very fast.
536	IM ALWAYS SATISFIED
537	had no complaints-got my e-mail said hi to a person and was on my way.  
538	it was easy to go on the web faster
539	Got accomplished what I needed to do
540	no problems, did not get interrupted or booted off line
541	I am having too many recent problems with interrupted connections at certain times of day and difficulty signing on.  This was not a problem 3 months ago.
542	I was able to sign on without difficulty and my connection was not interrupted.  
543	Financial reasons
544	I got answers to my specific question
545	gets bootedtoo much , bad for hackers slow getting online
546	Accomplished what i needed to do.
547	no pop up porn appeared while I was working on documents or when I checked my mail...however there appears to be NO way to bar httl graphics in ABCD email...at least ABCD Help had no answer when I contacted them.
548	"Have been having problems with channel menu ..""games is not connecting"" reported this today"
549	I hardly think about it when online.  I would be extremely unsatisfied if I did have occasion to think about my service provider.
550	I was able to sign on with no trouble as usual and go about my business
551	I have a high speed cable modem, and when I want info on something
552	The conection was ok.
553	I got all my mail and was able to read up on current events.
554	Logged on/off with ease.
555	I really enjoy ABCD 2.3.  I love the new features.  I've always been a fan of ABCD.  Other ISP's just don't compare.
556	Few problems while online.  Buddy list problems when viewing a profile.
557	being kicked off at least every 3 to 5 minutes--changed access #'s several times and have followed the advice of tech. support
558	Everything worked quick enough
559	Because i got every thing done that was planed to do.
560	It takes a while to get online, and says it has to close alot and there are alot of technical problems. 
561	I was given several different ways to solve the problem.
562	i had no problems navagating on the site.
563	I only got booted out once.
564	cost too much monthly as i do not use it much on a daily basis
565	Found the info i was seeking.
566	I enjoy ABCD because it is easy to use, everything is just a click away. 
567	My computer did not freeze and I was able to find everything I search for with ease.
568	the cost is very high!
569	Take,s A Long time to find what i am looking for
570	tes
571	because i accessed my mail from another location and it was very convenient
572	I connected and didnt get booted my entire time I was on
573	did not get kicked out :-)
574	price
575	the ABCD employee i spoke with was extremely helpful and was probably the nicest employee i have ever had dealing with ABCD.
576	It came on quickly and I was able to get to my destnations with no problems.
577	I was able to read my mail.
578	cuz I didn't get knocked off...  like I have in the past...
579	EVERYTHING WAS FINE. I HAD ACCESS TO EVERYTHING I WANTED AND EASE OF USE.
580	i LOGGED ON RIGHT AWAY. SOMETIMES I HAVE TO KEEP ON TRYING BECAUSE IT'S ALWAYS BUZY
581	I was sending a e-mail and got knocked off.
582	Takes forever to connect,always getting knocked off
583	pop ups, being booted off line, room size, children in adult chat room, people working for ABCD that send other viruses and have them tossed for no reason
